Word,Verb,Noun,Con
extant,Improve,pawnshop,
extempore,Improvise,toaster,
extenuate,Incorporate,fireweed,
extinct,Increase,voyager,
extirpate,Index,marcher,
extort,Individualize,landman,
extrovert,Influence,tuna,
facetious,Inform,metalwork,
facile,Initiate,featherweight,
fagged,Innovate,polariscope,
falter,Inspect,intrusion,
fatuous,Inspire,milliner,
feckless,Install,plaque,
fecund,Institute,autobahn,
ferment,Instruct,capitol,
ferocity,Insure,quasar,
ferret,Integrate,roadrunner,
fervid,Interact,dramamine,
fervor,Interface,caregiver,
fetter,Interpret,cellophane,
fidelity,Intervene,alum,
fidget,Interview,psalter,
finesse,Introduce,duffer,
finical,Invent,manzanilla,
finicky,Inventory,duffel,
fission,Investigate,cortland,
fixate,Involve,cottier,
flaunting,Join,survival,
fledged,Judge,vigilante,
flinch,Justify,sultanate,
florid,Label,gastroscope,
fluster,Launch,bobby,
foible,Lead,seaside,
foment,Learn,gangplank,
foolproof,Lecture,crematorium,
foppish,License,pavement,
forage,Lighten,steps,
forbear,Liquidate,ola,
forestall,List,creel,
forfeit,Listen,creek,
forgery,Litigate,landfall,
forswear,Lobby,shirtsleeve,
foster,Localize,nonmember,
fracas,Locate,tajik,
fragile,Log,billboard,
fragrant,Maintain,okra,
frantic,Manage,latecomer,
frenetic,Manufacture,res,
fringe,Map,repression,
froward,Market,treadmill,
frugal,Master,sower,
fulsome,Maximize,cultist,
gainsay,Measure,shaker,
garble,Mechanize,collet,
garner,Mediate,diltiazem,
garrulity,Mentor,trampoline,
garrulous,Merge,lefty,
gaucherie,Methodize,binder,
germane,Minimize,brokerage,
glimmer,Mobilize,valium,
gossamer,Model,stoker,
gourmand,Moderate,lackey,
grievous,Modernize,inderal,
grovel,Modify,globetrotter,
gullible,Monitor,saccule,
halcyon,Motivate,cornstalk,
hallow,Narrate,sol,
harangue,Navigate,mocha,
harbinger,Negotiate,raiser,
harrow,Notify,hospice,
haughty,Nurse,bombardier,
heinous,Nurture,panorama,
heresy,Observe,nova,
hermetic,Obtain,raper,
highbrow,Officiate,trappings,
hirsute,Offset,bedrock,
hollow,Operate,moselle,
holster,Orchestrate,multiprocessor,
hoodwink,Order,beech,
hubris,Organize,melanin,
hypocrisy,Orient,onlooker,
idolatry,Orientate,smasher,
ignoble,Originate,paprika,
illicit,Outline,sorus,
imbroglio,Overhaul,dulciana,
imminent,Oversaw,bathrobe,
immutable,Oversee,damson,
impair,Package,gemini,
impassive,Participate,quintuplet,
impede,Perceive,cassia,
impending,Perfect,dealer,
imperious,Perform,cassie,
impetuous,Persuade,lees,
impiety,Photograph,acetaminophen,
implicate,Pilot,leek,
implicit,Pioneer,woodman,
implosion,Plan,taurus,
importune,Practice,devon,
impromptu,Predict,transporter,
impudent,Prepare,hawker,
impugned,Present,puss,
impute,Preserve,pion,
inasmuch,Preside,cottonseed,
incense,Prevent,ottawa,
incessant,Print,fastener,
inchoate,Prioritize,sniffer,
incipient,Probe,equalizer,
incise,Process,viaduct,
incite,Produce,allgood,
inclined,Program,burgomaster,
inculcate,Project,gallbladder,
incursion,Promote,putterer,
indelible,Propose,dustman,
indigence,Provide,fatigues,
indolence,Publicize,kittiwake,
indulge,Publish,solver,
indulgent,Purchase,fingerpaint,
ineffable,Qualify,muscat,
inferno,Quantify,teak,
infuriate,Quote,subway,
infuse,Raise,meadow,
ingenuous,Ran,bock,
ingest,Rank,minion,
inimical,Rate,heavyweight,
innocuous,Read,anaconda,
insinuate,Reason,playpen,
insipid,Recall,headset,
interdict,Recognize,crackpot,
interim,Recommend,flashbulb,
intrepid,Reconcile,draftee,
inundate,Record,banister,
inured,Recreate,foliage,
invective,Recruit,amalgam,
inveigh,Rectify,linseed,
involute,Reduce,drafter,
irascible,Refer,nitroglycerine,
irksome,Refine,overnighter,
itinerate,Register,rhodopsin,
jabber,Regulate,musicologist,
jagged,Rehabilitate,throughput,
jocular,Reinforce,houseman,
judicious,Relate,radish,
lament,Related,grindle,
lassitude,Release,forefront,
latent,Remodel,turret,
laudatory,Render,wicker,
lavish,Renew,papaw,
legacy,Reorganize,wicket,
levity,Repair,crammer,
libertine,Replace,bender,
lionize,Report,scope,
lucubrate,Represent,guardsman,
luculent,Research,clitoris,
lumber,Reserve,tundra,
luminary,Resolve,appendix,
lustrous,Respond,mascot,
macabre,Restore,lumberjack,
macerate,Restrict,impasse,
maladroit,Retain,cataloger,
malign,Retrieve,stockroom,
malinger,Revamp,ammonite,
malleable,Reveal,lodestone,
manacle,Review,stetson,
massacre,Revise,stockbroker,
maudlin,Revitalize,stole,
maverick,Route,mauler,
mendacity,Sample,finnan,
mendicant,Save,divider,
mercurial,Scan,encampment,
mesmerize,Schedule,lido,
mettle,Screen,technocrat,
middling,Script,latte,
minatory,Scrutinize,missal,
mollify,Search,sandbagger,
morbid,Secure,dove,
morose,Segment,heliotrope,
muffler,Select,puller,
mundane,Serve,scrivener,
myriad,Service,sandbox,
nascent,Set goals,mango,
nebulous,Set up,blowup,
negligent,Settle,merino,
neophyte,Shape,taira,
nibble,Share,tendency,
noisome,Show,tore,
nonplused,Simplify,accordion,
nostrum,Simulate,nymph,
noxious,Sketch,jessamine,
nugatory,Sold,hashish,
obdurate,Solicit,suspension,
obfuscate,Solve,swastika,
oblivious,Sort,apron,
obloquy,Speak,pushover,
obtain,Spearhead,sorter,
obtrusive,Specialize,homebuilder,
obtuse,Specify,polder,
obviate,Spoke,ketchup,
occluded,Stage,handiwork,
odious,Standardize,goldstone,
officious,Start,interferometer,
ominous,Stimulate,hawkbill,
onerous,Straighten,hinny,
ossify,Strategize,methotrexate,
ostracism,Streamline,workaholic,
overhaul,Strengthen,beauty,
palate,Structure,internee,
palatial,Study,microfossil,
palliate,Submit,commissar,
palpitate,Substantiate,internet,
panegyric,Substitute,formula,
paradigm,Suggest,linguine,
pariah,Summarize,bookie,
parley,Supervise,pennsylvanian,
partisan,Supply,inhaler,
patron,Support,pung,
paucity,Surpass,councilwoman,
pedantic,Survey,backside,
pellucid,Sustain,basso,
penchant,Symbolize,monsignor,
penitent,Synthesize,gaff,
penurious,Systematize,ostrich,
penury,Tabulate,cheviot,
perfidy,Tail,plasminogen,
perilous,Target,cloakroom,
perish,Taught,yarrow,
perjury,Teach,nester,
permeate,Tend,paleontologist,
pertain,Terminate,nubian,
petrified,Test,stuffer,
petrify,Theorize,boulevard,
petrous,Time,grackle,
petulant,Tour,shoebox,
piquant,Trace,drugstore,
pitfall,Track,slasher,
pivotal,Trade,starfish,
placate,Train,boyfriend,
plaintive,Transcribe,biohazard,
plaque,Transfer,counselor,
platitude,Transform,janitor,
plethora,Translate,scuba,
pliant,Transmit,sac,
plummet,Transport,zovirax,
plunge,Transpose,alley,
poignant,Travel,jansenist,
poncho,Treat,spender,
ponderous,Triple,sax,
portent,Troubleshot,rainwater,
precepts,Tutor,borough,
preclude,Uncover,transcriber,
premature,Undertook,highflier,
presage,Unify,handicraft,
prevalent,Unveil,washbasin,
pristine,Update,zoo,
probity,Upgrade,roadside,
prodigal,Upheld,retina,
profane,Use,palette,
profuse,Utilize,standard-bearer,
prolix,Validate,knee,
prosaic,Value,pager,
proscribe,Verify,byway,
provident,View,lawn,
provoke,Visit,thalidomide,
prudence,Visualize,bicyclist,
prudish,Vitalize,constable,
pucker,Volunteer,obsidian,
puissance,Weigh,landlady,
pundit,Widen,lotus,
pungency,Win,calamari,
purvey,Withdraw,babbler,
quandary,Witness,fibre,
quibble,Write,merlin,
quiescent,Xerox,gourd,
quixotic,Zap,sloe,
quotidian,Zero in,actin,
rabble,Zip,firedamp,
raconteur,Zoom in,inuit,
raffish,Zoom out,scorekeeper,
ramify,Zone off,trappist,
